property_id,prediccion
107565477,no_reformado
107331364,no_reformado
107331364,no_reformado
107729355,reformado
107729355,reformado
107409371,reformado
107765643,reformado
107765643,reformado
107253989,reformado
107253989,reformado
107631954,reformado
107631954,reformado
107565254,no_reformado
107565254,no_reformado
107684391,reformado
107684391,reformado
107763934,reformado
107763934,reformado
105576412,no_reformado
105576412,no_reformado
106637256,no_reformado
107826116,reformado
107826116,reformado
107593366,no_reformado
107593366,no_reformado
106688771,reformado
107753059,no_reformado
107753059,no_reformado
106668521,no_reformado
106668521,no_reformado
106892065,reformado
101733675,no_reformado
100519346,no_reformado
106555186,no_reformado
106555186,no_reformado
107864786,no_reformado
106593017,reformado
106593017,reformado
102626260,no_reformado
102626260,no_reformado
106969492,no_reformado
106969492,no_reformado
107184794,no_reformado
107184794,no_reformado
107200542,no_reformado
107200542,no_reformado
107500781,no_reformado
107445694,reformado
107445694,reformado
107744546,reformado
107744546,reformado
106929239,reformado
106929239,reformado
107072239,no_reformado
107072239,no_reformado
107687451,no_reformado
107687451,no_reformado
107637004,no_reformado
107732533,no_reformado
107585879,reformado
83291598,no_reformado
83291598,no_reformado
107205081,no_reformado
107205081,no_reformado
107188842,reformado
107188842,reformado
107744412,no_reformado
106015800,reformado
106702840,reformado
106702840,reformado
107820515,no_reformado
107820515,no_reformado
107264808,reformado
107264808,reformado
107831600,no_reformado
107831600,no_reformado
106956993,no_reformado
106956993,no_reformado
107677989,no_reformado
107652708,no_reformado
107652708,no_reformado
96292622,reformado
96292622,reformado
105270246,reformado
105270246,reformado
107311037,no_reformado
107311037,no_reformado
107733583,no_reformado
107733583,no_reformado
107086254,no_reformado
107691884,no_reformado
107691884,no_reformado
106127054,reformado
106127054,reformado
106232062,reformado
106232062,reformado
107869242,no_reformado
107869242,no_reformado
107443061,no_reformado
107443061,no_reformado
104515791,no_reformado
104515791,no_reformado
103994611,reformado
103994611,reformado
107100167,no_reformado
107100167,no_reformado
104104880,reformado
105062666,no_reformado
105062666,no_reformado
107159571,no_reformado
107159571,no_reformado
107060716,no_reformado
105902308,reformado
107500779,reformado
107500779,reformado
94062975,no_reformado
94062975,no_reformado
107655865,no_reformado
106093303,reformado
106427919,no_reformado
103626053,no_reformado
103626053,no_reformado
107781869,no_reformado
107781869,no_reformado
104137170,reformado
104137170,reformado
106918020,reformado
106918020,reformado
107784613,reformado
107529198,no_reformado
107529198,no_reformado
106753336,reformado
106753336,reformado
106445939,no_reformado
104982218,no_reformado
104982218,no_reformado
106072433,no_reformado
106072433,no_reformado
106119315,reformado
106119315,reformado
107470501,reformado
104163493,reformado
106545136,no_reformado
107614496,reformado
107075394,reformado
107075394,reformado
107553312,no_reformado
107553312,no_reformado
107638641,reformado
107861930,no_reformado
107861930,no_reformado
107613945,reformado
107613945,reformado
106473591,reformado
106473591,reformado
106577595,no_reformado
106577595,no_reformado
107109203,reformado
107109203,reformado
106322332,no_reformado
107670787,no_reformado
107670787,no_reformado
107849727,reformado
107849727,reformado
107289070,no_reformado
107289070,no_reformado
106642747,no_reformado
107629669,no_reformado
107629669,no_reformado
107027467,no_reformado
107556890,reformado
107746806,no_reformado
107746806,no_reformado
106226978,reformado
106226978,reformado
107642821,no_reformado
107642821,no_reformado
107355702,reformado
107355702,reformado
107785496,reformado
